Institution,Location,Joined,Left,Football,Basketball,Coordinates
University of Arizona,"Tucson, Arizona",1931,1963,True,True,"32°13′18″N,110°55′35″W"
Arizona State University,"Tempe, Arizona",1931,1963,True,True,"33°24′46″N,111°56′35″W"
Hardin–Simmons University,"Abilene, Texas",1941,1963,True,True,"32°27′N,99°45′W"
New Mexico State University,"Las Cruces, New Mexico",1931,1963,True,True,"32°18′52″N,106°46′44″W"
University of Texas at El Paso,"El Paso, Texas",1935,1963,True,True,"31°45′33″N,106°29′19″W"
West Texas A&M University,"Canyon, Texas",1941,1963,True,True,"34°59′26″N,101°55′09″W"
Northern Arizona University,"Flagstaff, Arizona",1931,1953,True,True,"35°10′50″N,111°37′12″W"
University of New Mexico,"Albuquerque, New Mexico",1931,1951,True,True,"35°06′39″N,106°35′36″W"
Texas Tech University,"Lubbock, Texas",1932,1957,True,True,"33°35′06″N,101°50′42″W"
